Player,stats_Squad,target_Ast,ast_predichas_25_26
Mohamed Salah,Liverpool,18,14.29
Lamine Yamal,Barcelona,13,10.48
Florian Wirtz,Leverkusen,12,9.67
Bruno Fernandes,Manchester Utd,10,9.46
Bukayo Saka,Arsenal,10,8.98
Julian Brandt,Dortmund,10,8.96
Bradley Barcola,Paris S-G,10,8.94
Vincenzo Grifo,Freiburg,11,8.76
Pascal Groß,Dortmund,9,8.5
Martin Ødegaard,Arsenal,8,8.16
